Block,Virus_prob,Latitude,Longitude,NumMosquitos,Month,Year,DayRunner,Virus,ALTER,PIPIENS,PIPIENS-RESTUANS,RESTUANS,Tmax,Tmin,rainy,dry,Dry_Wet_Diff,Slowdown,Speedy,Tmax-1,rainy-1,dry-1,Dry_Wet_Diff-1,Slowdown-1,Speedy-1,Tmax-2,rainy-2,dry-2,Dry_Wet_Diff-2,Slowdown-2,Speedy-2
10,0.02878787878787879,41.723195,-87.64997,1,6,2007,156,0,0,0,0,1,64,51,1,1,0,1,0,72.0,1.0,0.0,0.0,1.0,0.0,78.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.721474,-87.648064,2,6,2007,177,0,0,0,0,1,92,73,1,0,0,1,0,89.0,0.0,0.0,0.0,1.0,0.0,77.0,0.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.869107,-87.69629300000003,1,6,2007,177,0,0,1,0,0,92,73,1,0,0,1,0,89.0,0.0,0.0,0.0,1.0,0.0,77.0,0.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.89923,-87.716788,1,6,2007,180,0,0,0,1,0,71,56,0,0,0,1,0,74.0,0.0,0.0,0.0,0.0,1.0,91.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.89923,-87.716788,1,6,2007,180,0,0,0,0,1,71,56,0,0,0,1,0,74.0,0.0,0.0,0.0,0.0,1.0,91.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.721474,-87.648064,1,6,2007,180,0,0,1,0,0,71,56,0,0,0,1,0,74.0,0.0,0.0,0.0,0.0,1.0,91.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.721474,-87.648064,1,6,2007,180,0,0,0,1,0,71,56,0,0,0,1,0,74.0,0.0,0.0,0.0,0.0,1.0,91.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.723195,-87.64997,2,6,2007,180,0,0,0,0,1,71,56,0,0,0,1,0,74.0,0.0,0.0,0.0,0.0,1.0,91.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.89923,-87.716788,3,7,2007,183,0,0,0,1,0,79,58,0,1,1,1,0,76.0,0.0,1.0,1.0,1.0,0.0,79.0,0.0,1.0,1.0,1.0,0.0
10,0.02878787878787879,41.89923,-87.716788,2,7,2007,183,0,0,0,0,1,79,58,0,1,1,1,0,76.0,0.0,1.0,1.0,1.0,0.0,79.0,0.0,1.0,1.0,1.0,0.0
10,0.02878787878787879,41.721474,-87.648064,2,7,2007,183,0,0,0,1,0,79,58,0,1,1,1,0,76.0,0.0,1.0,1.0,1.0,0.0,79.0,0.0,1.0,1.0,1.0,0.0
10,0.02878787878787879,41.869107,-87.69629300000003,1,7,2007,183,0,0,0,1,0,79,58,0,1,1,1,0,76.0,0.0,1.0,1.0,1.0,0.0,79.0,0.0,1.0,1.0,1.0,0.0
10,0.02878787878787879,41.723195,-87.64997,1,7,2007,183,0,0,0,1,0,79,58,0,1,1,1,0,76.0,0.0,1.0,1.0,1.0,0.0,79.0,0.0,1.0,1.0,1.0,0.0
10,0.02878787878787879,41.89923,-87.716788,5,7,2007,192,0,0,1,0,0,77,63,0,1,1,1,1,89.0,1.0,0.0,0.0,1.0,1.0,94.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.89923,-87.716788,6,7,2007,192,0,0,0,1,0,77,63,0,1,1,1,1,89.0,1.0,0.0,0.0,1.0,1.0,94.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.89923,-87.716788,4,7,2007,192,0,0,0,0,1,77,63,0,1,1,1,1,89.0,1.0,0.0,0.0,1.0,1.0,94.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.773215,-87.60088,2,7,2007,192,0,0,0,1,0,77,63,0,1,1,1,1,89.0,1.0,0.0,0.0,1.0,1.0,94.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.773215,-87.60088,3,7,2007,192,0,0,0,0,1,77,63,0,1,1,1,1,89.0,1.0,0.0,0.0,1.0,1.0,94.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.721474,-87.648064,15,7,2007,192,0,0,0,1,0,77,63,0,1,1,1,1,89.0,1.0,0.0,0.0,1.0,1.0,94.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.869107,-87.69629300000003,5,7,2007,192,0,0,0,1,0,77,63,0,1,1,1,1,89.0,1.0,0.0,0.0,1.0,1.0,94.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.869107,-87.69629300000003,4,7,2007,192,0,0,0,0,1,77,63,0,1,1,1,1,89.0,1.0,0.0,0.0,1.0,1.0,94.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.723195,-87.64997,1,7,2007,192,0,0,0,1,0,77,63,0,1,1,1,1,89.0,1.0,0.0,0.0,1.0,1.0,94.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.723195,-87.64997,2,7,2007,192,0,0,0,0,1,77,63,0,1,1,1,1,89.0,1.0,0.0,0.0,1.0,1.0,94.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.89923,-87.716788,2,7,2007,199,0,0,1,0,0,85,69,1,0,0,1,1,83.0,1.0,0.0,0.0,1.0,0.0,82.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.89923,-87.716788,5,7,2007,199,0,0,0,0,1,85,69,1,0,0,1,1,83.0,1.0,0.0,0.0,1.0,0.0,82.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.72646500000001,-87.585413,2,7,2007,199,0,1,0,0,0,85,69,1,0,0,1,1,83.0,1.0,0.0,0.0,1.0,0.0,82.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.72646500000001,-87.585413,50,7,2007,200,0,0,1,0,0,83,63,0,0,0,1,1,85.0,1.0,0.0,0.0,1.0,1.0,83.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.72646500000001,-87.585413,7,7,2007,200,0,0,0,1,0,83,63,0,0,0,1,1,85.0,1.0,0.0,0.0,1.0,1.0,83.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.72646500000001,-87.585413,25,7,2007,200,0,0,0,0,1,83,63,0,0,0,1,1,85.0,1.0,0.0,0.0,1.0,1.0,83.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.72646500000001,-87.585413,4,7,2007,200,0,1,0,0,0,83,63,0,0,0,1,1,85.0,1.0,0.0,0.0,1.0,1.0,83.0,1.0,0.0,0.0,1.0,0.0
10,0.02878787878787879,41.89923,-87.716788,10,7,2007,208,0,0,0,1,0,83,70,1,0,0,1,0,84.0,1.0,0.0,0.0,1.0,0.0,85.0,0.0,0.0,1.0,1.0,0.0
10,0.02878787878787879,41.89923,-87.716788,14,7,2007,208,0,0,0,0,1,83,70,1,0,0,1,0,84.0,1.0,0.0,0.0,1.0,0.0,85.0,0.0,0.0,1.0,1.0,0.0
10,0.02878787878787879,41.773215,-87.60088,7,7,2007,208,0,0,0,1,0,83,70,1,0,0,1,0,84.0,1.0,0.0,0.0,1.0,0.0,85.0,0.0,0.0,1.0,1.0,0.0
10,0.02878787878787879,41.89923,-87.716788,11,8,2007,213,0,0,0,1,0,92,69,0,0,1,1,0,91.0,0.0,0.0,1.0,1.0,0.0,89.0,0.0,0.0,1.0,1.0,0.0
10,0.02878787878787879,41.89923,-87.716788,1,8,2007,213,0,0,0,0,1,92,69,0,0,1,1,0,91.0,0.0,0.0,1.0,1.0,0.0,89.0,0.0,0.0,1.0,1.0,0.0
10,0.02878787878787879,41.721474,-87.648064,1,8,2007,213,0,0,0,0,1,92,69,0,0,1,1,0,91.0,0.0,0.0,1.0,1.0,0.0,89.0,0.0,0.0,1.0,1.0,0.0
10,0.02878787878787879,41.723195,-87.64997,1,8,2007,213,0,0,1,0,0,92,69,0,0,1,1,0,91.0,0.0,0.0,1.0,1.0,0.0,89.0,0.0,0.0,1.0,1.0,0.0
10,0.02878787878787879,41.723195,-87.64997,2,8,2007,213,0,0,0,1,0,92,69,0,0,1,1,0,91.0,0.0,0.0,1.0,1.0,0.0,89.0,0.0,0.0,1.0,1.0,0.0
10,0.02878787878787879,41.750498,-87.605294,2,8,2007,213,0,0,1,0,0,92,69,0,0,1,1,0,91.0,0.0,0.0,1.0,1.0,0.0,89.0,0.0,0.0,1.0,1.0,0.0
10,0.02878787878787879,41.72646500000001,-87.585413,1,8,2007,213,0,1,0,0,0,92,69,0,0,1,1,0,91.0,0.0,0.0,1.0,1.0,0.0,89.0,0.0,0.0,1.0,1.0,0.0
10,0.02878787878787879,41.72646500000001,-87.585413,9,8,2007,213,0,1,0,0,0,92,69,0,0,1,1,0,91.0,0.0,0.0,1.0,1.0,0.0,89.0,0.0,0.0,1.0,1.0,0.0
10,0.02878787878787879,41.721474,-87.648064,9,8,2007,214,0,0,0,1,0,91,73,0,0,1,1,0,92.0,0.0,0.0,1.0,1.0,0.0,91.0,0.0,0.0,1.0,1.0,0.0
10,0.02878787878787879,41.721474,-87.648064,1,8,2007,214,0,0,0,0,1,91,73,0,0,1,1,0,92.0,0.0,0.0,1.0,1.0,0.0,91.0,0.0,0.0,1.0,1.0,0.0
10,0.02878787878787879,41.869107,-87.69629300000003,1,8,2007,214,0,0,1,0,0,91,73,0,0,1,1,0,92.0,0.0,0.0,1.0,1.0,0.0,91.0,0.0,0.0,1.0,1.0,0.0
