Date,Virus,Month,Year,DayRunner,CULEX,ALTER,PIPIENS,PIPIENS-RESTUANS,RESTUANS,near_hotspot,near_chompspot
2007-05-29,0,5,2007,149,PIPIENS-RESTUANS,0,0,1,0,1,4
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,1,4
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,0,3
2007-05-29,0,5,2007,149,PIPIENS-RESTUANS,0,0,1,0,2,4
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,2,4
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,0,1
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,0,1
2007-05-29,0,5,2007,149,PIPIENS-RESTUANS,0,0,1,0,0,1
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,0,1
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,0,0
2007-05-29,0,5,2007,149,PIPIENS-RESTUANS,0,0,1,0,0,1
2007-05-29,0,5,2007,149,PIPIENS-RESTUANS,0,0,1,0,1,1
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,1,1
2007-05-29,0,5,2007,149,PIPIENS-RESTUANS,0,0,1,0,1,2
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,1,2
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,0,1
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,1,2
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,1,2
2007-05-29,0,5,2007,149,PIPIENS,0,1,0,0,1,2
2007-05-29,0,5,2007,149,PIPIENS-RESTUANS,0,0,1,0,0,0
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,0,0
2007-05-29,0,5,2007,149,PIPIENS-RESTUANS,0,0,1,0,3,5
2007-05-29,0,5,2007,149,PIPIENS-RESTUANS,0,0,1,0,0,0
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,1,0
2007-05-29,0,5,2007,149,RESTUANS,0,0,0,1,0,2
2007-06-05,0,6,2007,156,PIPIENS-RESTUANS,0,0,1,0,1,4
2007-06-05,0,6,2007,156,RESTUANS,0,0,0,1,1,4
2007-06-05,0,6,2007,156,PIPIENS,0,1,0,0,1,4
2007-06-05,0,6,2007,156,PIPIENS-RESTUANS,0,0,1,0,2,4
2007-06-05,0,6,2007,156,RESTUANS,0,0,0,1,2,4
2007-06-05,0,6,2007,156,PIPIENS-RESTUANS,0,0,1,0,0,1
2007-06-05,0,6,2007,156,RESTUANS,0,0,0,1,0,1
2007-06-05,0,6,2007,156,PIPIENS,0,1,0,0,0,1
2007-06-05,0,6,2007,156,RESTUANS,0,0,0,1,0,1
2007-06-05,0,6,2007,156,PIPIENS-RESTUANS,0,0,1,0,0,1
2007-06-05,0,6,2007,156,RESTUANS,0,0,0,1,0,1
2007-06-05,0,6,2007,156,PIPIENS,0,1,0,0,0,1
2007-06-05,0,6,2007,156,RESTUANS,0,0,0,1,0,0
2007-06-05,0,6,2007,156,PIPIENS-RESTUANS,0,0,1,0,0,1
2007-06-05,0,6,2007,156,RESTUANS,0,0,0,1,0,1
2007-06-05,0,6,2007,156,RESTUANS,0,0,0,1,1,1
2007-06-05,0,6,2007,156,RESTUANS,0,0,0,1,1,2
2007-06-05,0,6,2007,156,PIPIENS-RESTUANS,0,0,1,0,1,2
2007-06-05,0,6,2007,156,PIPIENS-RESTUANS,0,0,1,0,1,2
2007-06-05,0,6,2007,156,RESTUANS,0,0,0,1,1,2
2007-06-05,0,6,2007,156,PIPIENS,0,1,0,0,1,2
2007-06-05,0,6,2007,156,PIPIENS-RESTUANS,0,0,1,0,3,5
2007-06-05,0,6,2007,156,RESTUANS,0,0,0,1,3,5
